PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzywe,B3kbnr/p1p2ppp/8/3pp3/3nq3/8/PPPPPP1P/RNBQKR2 w Qk - 1 9,c2c4 d4f3,1411,91,83,4449,mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/h2ObbOBC#17,
zzyxB,r6k/4qp1P/2p1p1p1/2PnP3/1p1PQ3/1P5R/r2B1RKP/8 w - - 1 36,e4f3 a2d2 f2d2 e7g5 h3g3 g5d2,1639,76,83,174,attraction crushing fork long middlegame sacrifice,https://lichess.org/fgAJcTzX#71,
zzz1y,6R1/8/8/5p2/3P1P2/5K2/7p/r6k w - - 4 49,g8g7 a1f1 f3e3 f1g1 g7h7 h1g2,2229,91,90,1012,crushing defensiveMove endgame long master masterVsMaster rookEndgame,https://lichess.org/WLceSm9N#97,
zzz2O,3r1rk1/6b1/3R2p1/1p2p2p/1P5P/2B2qP1/1Q3P1K/4R3 w - - 3 30,c3e5 d8d6 e5g7 f3f2 b2f2 f8f2,2006,81,88,37,crushing fork long middlegame,https://lichess.org/UBigL4Vc#59,
zzz5v,8/3Q2k1/3P1p1p/6pq/5n2/2P2P1P/5P1K/8 b - - 2 42,g7g6 d7e8 g6g7 e8h5 f4h5 d6d7,1292,74,98,1131,advancedPawn crushing deflection endgame long,https://lichess.org/5BUDTpuB/black#84,
zzz6W,1bkr4/p6R/Pp4p1/1Np1q3/2P1p1P1/4Bn2/1P2QPK1/8 b - - 1 32,d8h8 e3f4 e5f4 h7h8,2055,75,90,1169,crushing deflection middlegame short,https://lichess.org/jqOr59kg/black#64,
zzz6b,4rrk1/Rpp2pp1/5q1p/3p4/4n3/1PP5/1P1NQPPP/4R1K1 b - - 0 17,e4c3 e2e8 f8e8 e1e8 g8h7 b2c3,1640,79,72,51,crushing kingsideAttack long middlegame,https://lichess.org/2d0uEKKG/black#34,Italian_Game Italian_Game_Scotch_Gambit
zzz7H,8/8/4p1kp/1p2Pp2/1Pp3pP/2P3P1/5PK1/8 b - - 2 43,f5f4 g3f4 g6f5 g2g3 f5e4 g3g4,1223,75,100,773,crushing endgame long pawnEndgame,https://lichess.org/ro5lggqr/black#86,
zzzAA,r4rk1/5Rbp/2p3p1/p1q5/2p1N3/P4Q2/1P4PP/5R1K b - - 2 30,c5d5 f7f8 a8f8 f3f8 g7f8 e4f6 g8g7 f6d5,1952,77,78,58,advantage fork middlegame sacrifice veryLong,https://lichess.org/H9Gr825S/black#60,
zzzBa,8/p3qppk/1p2rn1p/2p5/3p4/PP1P1QPP/2PB1P2/2R3K1 b - - 4 30,e6e2 d2e3 e2e3 f2e3,2061,74,94,4821,advantage endgame master short trappedPiece,https://lichess.org/9Q2St8kL/black#60,
zzzJS,r3kb1r/5ppp/p1n1p3/qN1pP3/3P4/1R3P2/P2B1P1P/3QK1R1 b kq - 0 17,a5a2 b5c7 e8d7 c7a8,859,81,99,1474,crushing fork middlegame short,https://lichess.org/aBcnhoi2/black#34,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
zzzKH,q6r/5kb1/p3pn1p/1pn4P/2p2B2/P1N5/1PpQ2P1/R3K2R w KQ - 0 23,d2c2 c5d3 c2d3 c4d3,1528,75,94,2379,crushing fork master middlegame short,https://lichess.org/Kite8I8w#45,
zzzLK,rn2k2r/pb3ppp/1p1qpn2/3p4/3P4/2NBPN2/PP3PPP/R2Q1RK1 b kq - 1 10,b8d7 c3b5 d6b8 a1c1 e8g8 b5c7,1807,74,94,8052,crushing long middlegame quietMove,https://lichess.org/sVDZKwQJ/black#20,Slav_Defense Slav_Defense_Other_variations
zzzOI,8/6p1/8/2pK3p/1k5P/1P4P1/8/8 b - - 0 43,g7g6 d5c6 c5c4 b3c4 b4c4 c6d6,1925,77,93,4288,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/f1RiiSwW/black#86,
zzzRN,4r2k/1NR2Q1p/4P1n1/pp1p4/3P4/4q3/PP4PP/6K1 w - - 0 31,g1h1 e3e1 f7f1 e1f1,828,109,67,32,endgame mate mateIn2 short,https://lichess.org/8OHS8UmY#61,
zzzTs,r2qrk2/pb1n1ppQ/1p2p3/2pP2b1/3P4/3B1NN1/PP3PPP/2R2RK1 b - - 0 16,g5c1 d5d6 d7f6 h7h8,1949,76,93,835,advantage middlegame short,https://lichess.org/8SAGnBjb/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation
zzzUZ,r2qk2r/pp2ppbp/2n3pn/1B1pP3/3P4/5b1P/PP1N1PP1/R1BQK2R w KQkq - 0 10,d2f3 d8a5 c1d2 a5b5,927,95,94,783,advantage fork opening short,https://lichess.org/0YzF6l5X#19,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
zzzYp,3r1rk1/3pN1pp/nq3pn1/1pp1p1QN/4P3/5P2/2P3PP/3RR2K b - - 1 26,g8h8 e7g6 h7g6 g5g6,1073,77,89,592,crushing kingsideAttack middlegame short,https://lichess.org/Yc8Fdtc0/black#52,
zzzc4,3r3k/p5pp/8/5R2/1BQ1p3/P3q3/Bb4PP/6K1 w - - 0 28,g1f1 d8d1 b4e1 e3e1,995,77,89,371,mate mateIn2 middlegame short,https://lichess.org/jRTmvh6y#55,
zzzco,5Q2/pp3R1P/1kpp4/4p3/2P1P3/3PP2P/Pr2q3/2K5 w - - 3 35,f7f2 b2c2 c1b1 e2d1,1687,75,88,1081,endgame mate mateIn2 queensideAttack short,https://lichess.org/hZWTYIAT#69,
zzzfr,8/1pp1k1p1/p7/2NPb3/4P3/8/PP3K2/8 w - - 2 37,b2b3 e5d4 f2f3 d4c5,848,79,100,359,endgame,https://lichess.org/zSz3UCjF#73,
zzzhI,r3kb1r/ppp2ppp/2n5/3q3b/3P1B2/5N1P/PPP3P1/RN1Q1RK1 b kq - 0 10,c6d4 f1e1 e8d8 b1c3 d4f3 g2f3,2518,90,85,77,advantage long opening,https://lichess.org/N092KH4f/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Abbazia_Defense
zzzhg,r2q1rk1/4bppp/p1n1pn2/1p1pN3/2pP2b1/1PP1P3/PBQN1PPP/RB3RK1 b - - 1 12,g4f5 e5c6 f5c2 c6d8 c2b1 d8c6,1963,76,91,702,crushing hangingPiece long middlegame,https://lichess.org/f4w3Ljxp/black#24,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
zzzjt,7r/kpq2p2/2n1p1p1/1PP5/4pP2/P3B1Pp/7P/3R1R1K b - - 0 28,c6a5 b5b6 a7b8 b6c7,990,76,98,439,advancedPawn advantage endgame fork short,https://lichess.org/Bi2ADEmQ/black#56,
zzzw8,8/p7/2Kn4/4k1p1/6Pp/2PB3P/8/8 b - - 3 42,d6e4 d3e4 e5e4 c3c4,1333,74,92,432,crushing defensiveMove endgame short,https://lichess.org/26wMVKVI/black#84,
