PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzzw8,8/p7/2Kn4/4k1p1/6Pp/2PB3P/8/8 b - - 3 42,d6e4 d3e4 e5e4 c3c4,1333,74,92,432,crushing defensiveMove endgame short,https://lichess.org/26wMVKVI/black#84,
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1713,79,93,1374,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/7FFNwibw/black#76,
zzzjt,7r/kpq2p2/2n1p1p1/1PP5/4pP2/P3B1Pp/7P/3R1R1K b - - 0 28,c6a5 b5b6 a7b8 b6c7,990,76,98,439,advancedPawn advantage endgame fork short,https://lichess.org/Bi2ADEmQ/black#56,
0017R,r2qk2r/pp2ppbp/1n1p2p1/3Pn3/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12,e5c4 d3c4 b6c4 d1a4 d8d7 a4c4,1549,75,96,2760,advantage fork long middlegame,https://lichess.org/ol84k0z4/black#24,Alekhine_Defense Alekhine_Defense_Other_variations
0000D,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1615,74,96,32155,advantage endgame short,https://lichess.org/F8M8OS71#53,
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,68,256,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
001aK,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2060,76,92,233,crushing endgame hangingPiece long quietMove,https://lichess.org/Epr0AiEh/black#66,
zzzfr,8/1pp1k1p1/p7/2NPb3/4P3/8/PP3K2/8 w - - 2 37,b2b3 e5d4 f2f3 d4c5,848,79,100,359,endgame,https://lichess.org/zSz3UCjF#73,
000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1353,75,86,628,endgame mate mateIn2 short,https://lichess.org/n8Ff742v#69,
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1436,78,75,514,advantage master middlegame short,https://lichess.org/iihZGl6t#29,Benoni_Defense Benoni_Defense_Benoni-Indian_Defense
