PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
000rO,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1110,82,85,69,crushing endgame fork master short,https://lichess.org/tzeeBEc2#115,
001aK,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2060,76,92,233,crushing endgame hangingPiece long quietMove,https://lichess.org/Epr0AiEh/black#66,
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,68,256,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
001Hi,6k1/pp1r1pp1/1qp1p2p/4P2P/5Q2/1P4R1/P1Pr1PP1/R5K1 b - - 4 23,b6d4 f4f6 d4f2 f6f2 d2f2 g1f2,2389,115,58,18,advantage endgame long pin,https://lichess.org/tUkE0z1z/black#46,
zzz1y,6R1/8/8/5p2/3P1P2/5K2/7p/r6k w - - 4 49,g8g7 a1f1 f3e3 f1g1 g7h7 h1g2,2229,91,90,1012,crushing defensiveMove endgame long master masterVsMaster rookEndgame,https://lichess.org/WLceSm9N#97,
000Vc,8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,1575,80,75,103,crushing endgame long pawnEndgame,https://lichess.org/l6AejDMO#105,
zzyxB,r6k/4qp1P/2p1p1p1/2PnP3/1p1PQ3/1P5R/r2B1RKP/8 w - - 1 36,e4f3 a2d2 f2d2 e7g5 h3g3 g5d2,1639,76,83,174,attraction crushing fork long middlegame sacrifice,https://lichess.org/fgAJcTzX#71,
000lC,3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19,d1d6 d7d6 b7b6 a7b6,1342,75,94,3693,advantage hangingPiece middlegame short,https://lichess.org/vaqz2bx6#37,
zzzKH,q6r/5kb1/p3pn1p/1pn4P/2p2B2/P1N5/1PpQ2P1/R3K2R w KQ - 0 23,d2c2 c5d3 c2d3 c4d3,1528,75,94,2379,crushing fork master middlegame short,https://lichess.org/Kite8I8w#45,
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1436,78,75,514,advantage master middlegame short,https://lichess.org/iihZGl6t#29,Benoni_Defense Benoni_Defense_Benoni-Indian_Defense
zzzAA,r4rk1/5Rbp/2p3p1/p1q5/2p1N3/P4Q2/1P4PP/5R1K b - - 2 30,c5d5 f7f8 a8f8 f3f8 g7f8 e4f6 g8g7 f6d5,1952,77,78,58,advantage fork middlegame sacrifice veryLong,https://lichess.org/H9Gr825S/black#60,
zzywe,B3kbnr/p1p2ppp/8/3pp3/3nq3/8/PPPPPP1P/RNBQKR2 w Qk - 1 9,c2c4 d4f3,1411,91,83,4449,mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/h2ObbOBC#17,
zzz5v,8/3Q2k1/3P1p1p/6pq/5n2/2P2P1P/5P1K/8 b - - 2 42,g7g6 d7e8 g6g7 e8h5 f4h5 d6d7,1292,74,98,1131,advancedPawn crushing deflection endgame long,https://lichess.org/5BUDTpuB/black#84,
zzz6W,1bkr4/p6R/Pp4p1/1Np1q3/2P1p1P1/4Bn2/1P2QPK1/8 b - - 1 32,d8h8 e3f4 e5f4 h7h8,2055,75,90,1169,crushing deflection middlegame short,https://lichess.org/jqOr59kg/black#64,
